	0	1	2	3	4	5	6	7	8	9	10
0											
1	Class	0.0	Tree	max_depth:	1.0	eta	0.001	Regularization	L2	Acc:	0.9314285714285714
2	label	zAcc050Hz	xAcc025Hz	snd0100Hz	snd0150Hz	yAcc050Hz	xAcc045Hz	snd0350Hz	xAcc020Hz	snd0775Hz	yAcc090Hz
3	2.0	0.0	1.2755460739135742	0.23260076344013214	1.1342989206314087	0.0	0.0	0.0	0.6358792781829834	0.0	0.3183985650539398
4	3.0	0.0	0.8406027555465698	1.849488615989685	0.5947394967079163	0.0	0.7733269333839417	0.0	0.0	0.0	0.0
5	4.0	0.2063446342945099	1.2510004043579102	0.967869758605957	0.0	0.0	0.0	0.0	0.0	0.42698416113853455	0.0
6	5.0	0.3090934753417969	0.7250396609306335	0.0	0.0	1.523817777633667	0.0	0.19577954709529877	0.0	0.0	0.0
7	6.0	0.15096913278102875	0.7729974389076233	0.054177600890398026	0.0	0.05712916702032089	0.0	0.0	0.0	0.0	0.0
8	7.0	0.0	0.4981089234352112	0.0	0.0	0.07787077873945236	0.19474098086357117	0.5177034139633179	0.0	0.0	0.0
9	8.0	5.205474853515625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10											
11	Class	1	Tree	max_depth:	2	eta	0.001	Regularization	L2	Acc:	0.9628571428571429
12	label	xAcc025Hz	zAcc050Hz	snd0100Hz	snd0150Hz	yAcc050Hz	xAcc020Hz	xAcc045Hz	snd0350Hz	snd0775Hz	zAcc045Hz
13	2.0	1.5467305183410645	0.09374716877937317	0.00850564707070589	0.8412105441093445	0.0	1.0857151746749878	0.0	0.0	0.0	0.2756272554397583
14	3.0	0.9476169347763062	0.0	1.9903801679611206	0.6851418614387512	0.0	0.02285231277346611	0.7073031067848206	0.0	0.0	0.0
15	4.0	1.7989888191223145	0.0979577973484993	1.7437512874603271	0.0	0.11954041570425034	0.0	0.0	0.023139365017414093	0.5189928412437439	0.0
16	5.0	1.2697639465332031	0.3409385681152344	0.0	0.05680493265390396	1.2353510856628418	0.0	0.02884034998714924	0.4417279362678528	0.0	0.12196880578994751
17	6.0	0.9638890624046326	0.13721388578414917	0.08722350746393204	0.023698491975665092	0.10781875997781754	0.0	0.0	0.005594645161181688	0.0	0.0
18	7.0	0.837184488773346	0.0	0.0	0.012128991074860096	0.12078732997179031	0.0	0.1831457018852234	0.3965345025062561	0.0	0.0
19	8.0	0.0	4.66387939453125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20											
21	Class	1	Tree	max_depth:	3	eta	0.001	Regularization	L2	Acc:	0.9657142857142857
22	label	xAcc025Hz	zAcc050Hz	snd0100Hz	yAcc050Hz	snd0150Hz	snd0350Hz	xAcc045Hz	xAcc020Hz	snd0775Hz	snd0900Hz
23	2.0	1.9922590255737305	0.08396608382463455	0.12149427831172943	0.0	1.118764042854309	0.0006356228259392083	0.0	0.6398711204528809	0.0	0.0
24	3.0	0.7829905152320862	0.0	2.18511962890625	0.0	0.44415798783302307	0.0	0.48837795853614807	0.012441634200513363	0.0	0.0
25	4.0	1.5010484457015991	0.13428787887096405	1.9773226976394653	0.13453537225723267	0.0	0.11945482343435287	0.0	0.0	0.46968913078308105	0.0
26	5.0	1.4049861431121826	0.29788705706596375	0.0	1.4907045364379883	0.012481258250772953	0.453056663274765	0.05493784695863724	0.0066957492381334305	0.0015265308320522308	0.00906225573271513
27	6.0	1.1685709953308105	0.15868641436100006	0.09555874764919281	0.1438802033662796	0.045746639370918274	0.004272453486919403	0.0	0.0	0.004871866665780544	0.16900686919689178
28	7.0	1.0168622732162476	0.009833771735429764	0.01566353254020214	0.18021860718727112	0.007482548709958792	0.40543341636657715	0.21862028539180756	0.0	0.0028735045343637466	0.19497735798358917
29	8.0	0.0	4.15132999420166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30											
31	Class	1	Tree	max_depth:	4	eta	0.001	Regularization	L2	Acc:	0.9571428571428572
32	label	xAcc025Hz	snd0100Hz	zAcc050Hz	yAcc050Hz	snd0150Hz	snd0350Hz	xAcc045Hz	xAcc020Hz	snd0775Hz	snd0900Hz
33	2.0	1.7976319789886475	0.1246732547879219	0.05757356062531471	0.0	1.0034115314483643	0.0	0.0	0.6321606636047363	0.0	0.0
34	3.0	0.48515376448631287	2.3153817653656006	0.0007218870450742543	0.0	0.4945217967033386	0.0	0.44597795605659485	0.012441634200513363	0.00036043545696884394	0.0
35	4.0	0.9560415148735046	2.301715612411499	0.05226090922951698	0.083659328520298	0.0	0.14209459722042084	0.0	0.0	0.5849612951278687	0.0
36	5.0	1.6427769660949707	0.002851366065442562	0.3329356610774994	1.6229631900787354	0.009088125079870224	0.39839330315589905	0.03472525626420975	0.0	0.01394570991396904	0.020680006593465805
37	6.0	1.3927671909332275	0.11822251975536346	0.18912222981452942	0.18937689065933228	0.0038709959480911493	0.0	0.003717179410159588	0.0	0.0024056180845946074	0.19172820448875427
38	7.0	1.2571461200714111	0.006435530725866556	0.005440955050289631	0.20731893181800842	0.02610170468688011	0.547881007194519	0.19625699520111084	0.003375898813828826	0.0	0.20128320157527924
39	8.0	0.0	0.0	3.9148824214935303	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40											
41	Class	1	Tree	max_depth:	5	eta	0.001	Regularization	L2	Acc:	0.9571428571428572
42	label	xAcc025Hz	snd0100Hz	zAcc050Hz	yAcc050Hz	snd0150Hz	snd0350Hz	xAcc045Hz	snd0775Hz	xAcc020Hz	snd0900Hz
